,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
has_electricity,0.37446333129010156,-0.15275887253249423,0.03281052984597118,-0.10924887150550838,-0.15312295680301452,0.11321167261394686,0.0433809598893864,0.03807483338995167,-0.19190502251679994,-0.2598298472113239,0.09754986669077195,-0.004519197769591928,-0.44474645691387205,-0.13057424095313827,-0.6746187368478179
has_radio,0.1994003389264577,0.36247581369184956,-0.034390860301920796,0.18533168163631544,-0.4640026686758656,0.30288736482767015,-0.24578097613778452,-0.2778084536639562,0.07812501264862493,0.15121432277220365,-0.5545564808136821,0.0606156477069072,0.053404880825791645,0.0027920283485614733,-0.07522536456883899
has_tv,0.3750511110383439,-0.04621389309147514,0.13611482389103327,-0.1292943114980127,-0.23096601932465927,0.1197236795131164,0.06769471809339826,0.02081979385636168,-0.242739066511553,-0.23711928171455904,0.05565163778903126,0.06171052174413583,-0.2678555481936391,-0.22130531384827262,0.7116781840431357
has_fridge,0.3023347227271265,-0.08968700472942545,0.41874870996969643,-0.06081986586867222,-0.15821927787850776,-0.08818662921139526,0.055792653339874335,0.02022720760103074,-0.11439584378803916,-0.30445339137972166,0.02781849581796188,-0.11157612524705901,0.729100736704481,0.1493313649649755,-0.11081118632102016
has_bicycle,-0.011278138677983236,0.5529708433081917,-0.022394088939276514,0.48304200542199893,-0.012837064123792923,-0.0926659153529193,0.034189641362568184,0.5672570716839352,-0.023196286088360295,-0.31533852193112194,0.07107655436182468,-0.13805152723941466,-0.06663356688334011,0.0002944019660172524,-0.006084900888053159
has_motorcycle,0.12738211717580009,0.42204865367125666,-0.12452257373548499,-0.486843014429254,0.14279126692590535,0.25792559326475467,0.5428897717929556,0.19581930505559808,-0.15154804891319834,0.28541737596821226,-0.06986661392509806,0.02265298439848166,0.13911276563942573,-0.008953428510272405,-0.06229253121555124
has_car,0.194361082402753,0.030961892656167805,0.5339852235508372,-0.02952763764745357,-0.09659887646472082,-0.3749164700107553,0.2224783906706815,0.11966696359015867,0.5378343605017477,0.3143651751758601,-0.0986407139045517,-0.012332967270870805,-0.25072791281195833,-0.025794099337696677,-0.0062717254534684404
has_landline,0.10098842317794193,0.005434991144582241,0.4863661998266624,0.22481983228343635,0.5759475919179765,0.5747317336087796,-0.16805261054326104,-0.008151546197040673,-0.0009188285784116613,0.08492363238444528,0.01844068736804419,0.046461532452201276,-0.04988031462620729,-0.011548778097845729,0.0015554646031850454
has_mobile,0.27322180065696894,0.19917192901759082,-0.2093060444327871,0.044765174637585975,-0.12188837703530651,0.19670587315100396,-0.06735855896369684,-0.2516323293587722,0.4090484923891097,0.1038295732114089,0.692821820365844,-0.20851173570518627,0.11008851554895516,-0.06690853428809221,0.016875019730444654
sleeping_rooms,0.10446712109044634,0.5013320198965303,0.14890267082703743,-0.10340328048457194,0.2757341008294825,-0.4676396033787867,-0.19237244974213466,-0.47191035236436285,-0.31494145913664384,-0.03199365718016427,0.11552930320011404,0.1519744768223433,-0.10304258710129774,0.04458952490842142,-0.0347126889175475
improved_water,0.20398260023046821,-0.12745334922663681,-0.2027399546117055,0.49667668292365025,0.20009581488980172,-0.057510910271251915,0.6340768056313789,-0.3799322562873852,0.06150126284455293,-0.15723906591812287,-0.14194554249735955,0.12191910731527372,0.025777172492276797,0.006575747051850042,0.019512387283137797
improved_toilet,0.28242136778678467,-0.1740086590608144,-0.0718987255935518,0.28435174171403643,-0.0029418242611025775,-0.1559237758377027,-0.050471232133177855,0.08977963747824645,-0.45605616320509607,0.5738808781016818,0.01818297360866359,-0.4743592848888756,-0.007702054815048001,0.07400294840611364,0.028206649791484496
finished_floor,0.3676193512329018,-0.06747878457446803,-0.2159691853364572,-0.0672457440006204,0.09695582215240522,-0.006045898593722001,-0.14865518208216402,0.18194067330290287,0.11981149529517585,-0.020104387701215747,-0.007490263006125912,0.2789218873295029,-0.11171918520422346,0.7947786988930865,0.08793935632906986
finished_wall,0.3270967036013275,-0.08978926951371638,-0.2139421761687329,0.08930817009338946,0.14001028747688346,-0.1725524446282853,-0.22431943128390658,0.2729235399068117,0.04172202771478195,0.19324849211045445,0.00312488772205406,0.5555849465066988,0.26611730384883686,-0.48531569247153933,-0.05380419292314007
finished_roof,0.2730353510267922,-0.008025624706555714,-0.2479827801864225,-0.24249020543139901,0.4016699659657982,-0.11193562830189248,-0.19446134046140992,0.0009854672623563375,0.2791322548638581,-0.2648576647972433,-0.38102856675874486,-0.5150138876703726,0.010414745453987498,-0.17775983010534407,0.0566771674288734
